Person ID,Full Name,Street,City,State,Zip,Latitude,Longitude,Phone Number,Referral Count
996701857,Waldorf Total Health Chiropractic & Physical Therapy,12102 Old Line Center,Waldorf,MD,20602,38.616638,-76.890698,(240) 754-7130 Work,60
996605635,Bezak Chiropractic And Rehabilitation,7500 Hanover Parkway,Greenbelt,MD,20770,38.992915,-76.875826,(301) 220-0496 Main,38
996356411,Dunkirk Chiropractic & Wellness Center,10020 Southern Maryland Blvd,Dunkirk,MD,20754,38.714689,-76.659379,(410) 286-3335 Work,24
996605523,"Effective Integrative Healthcare - Lanham, Md",7400 Riverdale Rd,Lanham,MD,20706,38.96208316,-76.88465383,(301) 960-2285 Work,21
996616309,"Rebound Integrative Health & Sports Clinic - Greenbelt, Md",7701 Greenbelt Rd,Greenbelt,MD,20770-6521,38.99403317,-76.87477676,(240) 261-7229 Fax,18
996701795,"Ameriwell Chiropractic - Silver Spring, Md",804 Pershing Dr,Silver Spring,MD,20910,38.99793724,-77.02311328,(301) 587-4000 Work,16
996700633,"Kaizo Health Chiropractic & Rehabilitation - Landover, Md",4301 Garden City Dr,Landover,MD,20785,38.94825675,-76.86893857,(301) 577-1115,14
993878578,"Maryland Healthcare Clinics - Baltimore, Md",6615 Reisterstown Road,Baltimore,MD,21215-2633,39.35742474,-76.70395141,(888) 570-0088 Main,13
996605561,"Kaizo Health Chiropractic & Rehabilitation - Fort Washington, Md",9300 Livingston Rd,Fort Washington,MD,20744,38.76402978,-76.99524572,(301) 203-6734 Work,13
996589142,"Rxwellness Spine & Health - Laurel, Md",525 Main St,Laurel,MD,20707,39.107547,-76.851389,(301) 725-6884 Work,11
996701834,"Excelsia Injury Care - White Marsh, Md",8140 Corporate Drive,Baltimore,MD,21236,39.37083808,-76.46829127,(410) 687-4405 Work,11
996605558,"Maryland Healthcare Clinics - Silver Spring, Md",8121 Georgia Avenue,Silver Spring,MD,20910,38.99097485,-77.02653851,(888) 570-0088,11
996275967,"Kiro-Plus Health & Wellness, Llc",226 East Lafayette Avenue,Baltimore,MD,21202,39.31000099,-76.61334748,(410) 727-7474,8
996605665,"Mid-Atlantic Spinal Rehab & Chiropractic - Bowie, Md",4201 Northview Dr,Bowie,MD,20716,38.9475207,-76.73721677,(240) 245-3180 Fax,6
996600127,"Active Physical Therapy - Laurel, Md",14405 Laurel Place,Laurel,MD,20707,39.08785665,-76.86115123,(301) 498-1604 Work,5
993719001,"Ameriwell Chiropractic - Capitol Heights, Md",525 Eastern Ave Ne,Capitol Heights,MD,20743,38.89669781,-76.91418421,301-883-8300 Work,5
993714301,"Ameriwell Chiropractic - Wheaton, Md",2730 University Blvd W,Wheaton,MD,20902,39.03964765,-77.05581684,301-348-8343 Work,4
996701816,"Ameriwell Chiropractic - Laurel, Md",13627 Baltimore Ave,Laurel,MD,20707,39.07677069,-76.86743331,(301) 708-0888 Work,4
996526550,"Total Health Family Clinic - Landover Hills, Md",6521 Annapolis Road,Landover Hills,MD,20784,38.93947184,-76.90632224,301-322-7777,3
996605659,Atlast Healthcare Of Maryland,3431 Monarch Drive,Edgewater,MD,21037,38.91750719,-76.56337127,(301) 390-8791 Fax,3
996605614,Enid Cruise,5210 Indian Head Highway,Oxon Hill,MD,20745,38.818065,-76.999033,(301) 839-0500 Main,3
996613409,"Effective Integrative Healthcare - Millersville, Md",683 Old Mill Rd,Millersville,MD,21108,39.11756455,-76.63265847,410-928-4192 Personal Mobile,3
993703115,"Maryland Healthcare Clinics - Easton, Md",7696 Ocean Gateway,Easton,MD,21601,38.760413,-76.061989,410-732-6110 Main,2
996605668,"Total Health Family Clinic - District Heights, Md",5730-A Silver Hill Road,District Heights,MD,20747,38.85432061,-76.90787045,(301) 735-5775 Main,2
996702174,"Multi-Specialty Health Care - Baltimore, Md",9601 Pulaski Park Drive,Baltimore,MD,21220,39.35227362,-76.45195941,(410) 933-5678 Main,2
996576449,"Pain And Rehab Center Of Maryland - Camp Springs, Md",5855 Allentown Road,Camp Springs,MD,20746,38.8066807,-76.90276012,(301) 925-2013 Work,2
996539471,"Pain And Rehab Center - Washington, Dc",2041 Martin Luther King Avenue,Washington,DC,20020,38.86566305,-76.98948895,(202) 610-0260 Work,2
